Número de Ordem;Índice de Frequência;Quantidade de CNPJs Completos;CNAE;Vigencia
3.135,95;12,0998;1;80.11-1/01;2025
3.138,99;12,1437;1;80.11-1/01;2025
3.142,03;12,2324;1;80.11-1/01;2025
3.145,07;12,2387;1;80.11-1/01;2025
3.148,11;12,487;1;80.11-1/01;2025
3.151,16;12,5414;1;80.11-1/01;2025
3.154,20;12,5523;1;80.11-1/01;2025
3.157,24;12,5589;1;80.11-1/01;2025
3.160,28;12,6117;1;80.11-1/01;2025
3.163,32;12,7119;1;80.11-1/01;2025
3.166,36;12,9199;1;80.11-1/01;2025
3.169,40;12,994;1;80.11-1/01;2025
3.172,44;13,3001;1;80.11-1/01;2025
3.175,48;13,3172;1;80.11-1/01;2025
3.178,52;13,321;1;80.11-1/01;2025
3.181,57;13,4003;1;80.11-1/01;2025
3.184,61;13,465;1;80.11-1/01;2025
3.187,65;13,4907;1;80.11-1/01;2025
3.190,69;13,5242;1;80.11-1/01;2025
3.193,73;13,5313;1;80.11-1/01;2025
3.196,77;13,567;1;80.11-1/01;2025
3.199,81;13,5823;1;80.11-1/01;2025
3.202,85;13,5849;1;80.11-1/01;2025
3.205,89;13,59;1;80.11-1/01;2025
3.208,93;13,6861;1;80.11-1/01;2025
3.211,98;13,6908;1;80.11-1/01;2025
3.215,02;13,7206;1;80.11-1/01;2025
3.218,06;13,73;1;80.11-1/01;2025
3.221,10;13,7536;1;80.11-1/01;2025
3.224,14;13,8728;2;80.11-1/01;2025
3.230,22;13,907;1;80.11-1/01;2025
3.233,26;14,1426;1;80.11-1/01;2025
3.236,30;14,2659;1;80.11-1/01;2025
3.239,34;14,3113;1;80.11-1/01;2025
3.242,39;14,4578;1;80.11-1/01;2025
3.245,43;14,4928;1;80.11-1/01;2025
3.248,47;14,5455;1;80.11-1/01;2025
3.251,51;14,8057;1;80.11-1/01;2025
3.254,55;14,8918;1;80.11-1/01;2025
3.257,59;14,9254;1;80.11-1/01;2025
3.260,63;15,0565;1;80.11-1/01;2025
3.263,67;15,1515;1;80.11-1/01;2025
3.266,71;15,1899;1;80.11-1/01;2025
3.269,75;15,2478;1;80.11-1/01;2025
3.272,80;15,2964;1;80.11-1/01;2025
3.275,84;15,4939;1;80.11-1/01;2025
3.278,88;15,5844;1;80.11-1/01;2025
3.281,92;15,6413;1;80.11-1/01;2025
3.284,96;15,6454;1;80.11-1/01;2025
3.288,00;15,8311;1;80.11-1/01;2025
3.291,04;15,9151;1;80.11-1/01;2025
3.294,08;15,9985;1;80.11-1/01;2025
3.297,12;16,0321;1;80.11-1/01;2025
3.300,16;16,2053;1;80.11-1/01;2025
3.303,20;16,2437;1;80.11-1/01;2025
3.306,25;16,2501;1;80.11-1/01;2025
3.309,29;16,2933;1;80.11-1/01;2025
3.312,33;16,3711;1;80.11-1/01;2025
3.315,37;16,4215;1;80.11-1/01;2025
3.318,41;16,4496;1;80.11-1/01;2025
3.321,45;16,7715;1;80.11-1/01;2025
3.324,49;16,8658;1;80.11-1/01;2025
3.327,53;16,9014;1;80.11-1/01;2025
3.330,57;16,9074;1;80.11-1/01;2025
3.333,61;17,0092;1;80.11-1/01;2025
3.336,66;17,094;1;80.11-1/01;2025
3.339,70;17,1062;1;80.11-1/01;2025
3.342,74;17,2786;1;80.11-1/01;2025
3.345,78;17,3913;1;80.11-1/01;2025
3.348,82;17,5012;1;80.11-1/01;2025
3.351,86;17,5055;1;80.11-1/01;2025
3.354,90;17,5567;1;80.11-1/01;2025
3.357,94;17,6471;1;80.11-1/01;2025
3.360,98;17,6861;1;80.11-1/01;2025
3.364,02;17,7778;1;80.11-1/01;2025
3.367,07;17,9843;1;80.11-1/01;2025
3.370,11;18,0587;2;80.11-1/01;2025
3.376,19;18,2232;1;80.11-1/01;2025
3.379,23;18,4758;1;80.11-1/01;2025
